names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,sex,cluster
lig,3.7634156,1.1089462,0.00016760836719498562,0.005690747598160668,0.3150984682713348,Male,Central brain B cholinergic neurons
FucTA,3.7261136,1.5217881,0.00019445474475411894,0.0063544474096728035,0.2363238512035011,Male,Central brain B cholinergic neurons
Taf4,3.7024717,1.1904379,0.00021350923121586833,0.006884461335715312,0.2910284463894967,Male,Central brain B cholinergic neurons
Akap200,3.701815,1.382229,0.00021406274889130392,0.006884461335715312,0.24726477024070023,Male,Central brain B cholinergic neurons
Rab21,3.6829014,1.6128588,0.00023059445441242426,0.007319572408419374,0.2363238512035011,Male,Central brain B cholinergic neurons
CG13375,3.5811093,1.2983108,0.00034213851028064047,0.0103482042228554,0.25820568927789933,Male,Central brain B cholinergic neurons
CG31360,3.5786138,1.7649256,0.0003454215527177163,0.010421641846723376,0.2188183807439825,Male,Central brain B cholinergic neurons
mir-9381,3.4558065,1.8570395,0.0005486488866193756,0.015268222098181664,0.20568927789934355,Male,Central brain B cholinergic neurons
CG1275,3.4095733,2.0903828,0.0006506459392118121,0.01743016121550061,0.18599562363238512,Male,Central brain B cholinergic neurons
qkr54B,3.3630774,1.1255007,0.000770787735160328,0.019655087246588366,0.2647702407002188,Male,Central brain B cholinergic neurons
Mlc-c,3.3437696,1.7925646,0.0008264832640191922,0.020771143309546252,0.1925601750547046,Male,Central brain B cholinergic neurons
CG31729,3.3299785,1.143299,0.0008685269436679154,0.02160505084973106,0.2713347921225383,Male,Central brain B cholinergic neurons
Tl,3.1261318,1.0107589,0.001771221872531325,0.039040548651508716,0.2800875273522976,Male,Central brain B cholinergic neurons
sbr,3.0931642,1.1689476,0.0019803449320361464,0.04295093305442809,0.24507658643326038,Male,Central brain B cholinergic neurons
CG1607,3.0906687,1.315535,0.0019970631686892894,0.043236594961196716,0.22538293216630198,Male,Central brain B cholinergic neurons
