Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Z-score,Combined Score,Genes
GO_Molecular_Function_2018,rRNA binding (GO:0019843),1/32,0.2142307688887734,0.3032189344271871,0.282869442043967,0.4100025239845245,-1.537961564706965,2.3695396676607268,mRpL16
GO_Biological_Process_2018,positive regulation of supramolecular fiber organization (GO:1902905),1/28,0.1901728203038824,0.3050114799076762,0.2914877508025352,0.4767188830859196,-1.6421002834984988,2.725594241936298,Jupiter
GO_Biological_Process_2018,axon choice point recognition (GO:0016198),1/28,0.1901728203038824,0.3050114799076762,0.2914877508025352,0.4767188830859196,-1.6474387378668267,2.7344551261547423,fru
GO_Molecular_Function_2018,potassium channel activity (GO:0005267),1/33,0.2201334824766927,0.3057540827894985,0.2900791996657003,0.4100025239845245,-1.6402458713808157,2.482546863610792,GluRIA
GO_Molecular_Function_2018,cation transmembrane transporter activity (GO:0008324),1/34,0.2259921481487597,0.3057540827894985,0.2972176692552246,0.4100025239845245,-1.5945258905221102,2.3714666400112514,Ca-alpha1T
GO_Molecular_Function_2018,ATP-dependent RNA helicase activity (GO:0004004),1/34,0.2259921481487597,0.3057540827894985,0.2972176692552246,0.4100025239845245,-1.668313431775659,2.481207531376739,bel
GO_Biological_Process_2018,positive regulation of signal transduction (GO:0009967),2/107,0.191637137849627,0.305882354644597,0.3692128247254692,0.5154346458266376,-1.1008696432714813,1.8188035448508897,eIF3f1;sun
GO_Biological_Process_2018,Golgi vesicle transport (GO:0048193),2/108,0.1943520584995863,0.3087314996261371,0.3734558293641175,0.5166138972870292,-0.9036077006436244,1.4801853438329695,eca;deltaCOP
GO_Biological_Process_2018,smoothened signaling pathway (GO:0007224),1/29,0.1962550392645768,0.3087993982741209,0.2998725111488121,0.4856471887873446,-1.8324778482511956,2.9838974281365456,Sxl
GO_Biological_Process_2018,regulation of axonogenesis (GO:0050770),1/29,0.1962550392645768,0.3087993982741209,0.2998725111488121,0.4856471887873446,-1.7998299456991889,2.930735534500584,sif
GO_Molecular_Function_2018,ligand-gated cation channel activity (GO:0099094),1/35,0.2318070924430677,0.3090761232574236,0.3042855438516799,0.4100025239845245,-1.5844238604675684,2.3161896263661617,GluRIA
GO_Biological_Process_2018,cellular response to hypoxia (GO:0071456),1/30,0.2022918798844176,0.3123762982401239,0.3081590868186277,0.4859509257714424,-1.6348920150482509,2.6126288432915623,msi
GO_Biological_Process_2018,organic anion transport (GO:0015711),1/30,0.2022918798844176,0.3123762982401239,0.3081590868186277,0.4859509257714424,-1.6357645322118073,2.6140231638257583,slmo
GO_Biological_Process_2018,regulation of cellular amide metabolic process (GO:0034248),1/30,0.2022918798844176,0.3123762982401239,0.3081590868186277,0.4859509257714424,-1.9564850211040583,3.1265485124126107,msi
GO_Biological_Process_2018,ubiquitin-dependent ERAD pathway (GO:0030433),1/30,0.2022918798844176,0.3123762982401239,0.3081590868186277,0.4859509257714424,-1.7457271747946488,2.789748269246873,Sgt
GO_Molecular_Function_2018,ATP-dependent helicase activity (GO:0008026),1/40,0.2602372536536108,0.3150240438964763,0.3385897884522112,0.4100025239845245,-1.5694034506801535,2.112670581746245,bel
GO_Molecular_Function_2018,aminoacyl-tRNA ligase activity (GO:0004812),1/39,0.2546361021849479,0.3150240438964763,0.3318647227528756,0.4100025239845245,-1.5153035924596594,2.072813792114148,HisRS
GO_Molecular_Function_2018,thiol-dependent ubiquitin-specific protease activity (GO:0004843),1/39,0.2546361021849479,0.3150240438964763,0.3318647227528756,0.4100025239845245,-1.3872017249212003,1.8975807106705247,eIF3f1
GO_Molecular_Function_2018,mRNA 3'-UTR binding (GO:0003730),1/38,0.2489928261465382,0.3150240438964763,0.3250724291898739,0.4100025239845245,-1.686195206892824,2.3443697946232445,Sxl
GO_Molecular_Function_2018,ATP binding (GO:0005524),1/40,0.2602372536536108,0.3150240438964763,0.3385897884522112,0.4100025239845245,-1.3345845292156553,1.7965663784577732,Pgk
GO_Molecular_Function_2018,phosphoric ester hydrolase activity (GO:0042578),1/39,0.2546361021849479,0.3150240438964763,0.3318647227528756,0.4100025239845245,-1.4912480688557594,2.0399077649979884,Gs1l
GO_Molecular_Function_2018,thiol-dependent ubiquitinyl hydrolase activity (GO:0036459),1/39,0.2546361021849479,0.3150240438964763,0.3318647227528756,0.4100025239845245,-1.3259046599467132,1.81373124160869,eIF3f1
GO_Biological_Process_2018,regulation of macromolecule metabolic process (GO:0060255),2/113,0.2079969699525757,0.3186644297650274,0.3944967746197848,0.5324102811941811,-1.059024243245155,1.6629135086847306,msi;bel
GO_Biological_Process_2018,protein stabilization (GO:0050821),1/31,0.2082836784909968,0.3186644297650274,0.3163486153177636,0.4930879825610212,-1.9410149601039977,3.045169646269625,CG8206
GO_Biological_Process_2018,cellular response to decreased oxygen levels (GO:0036294),1/32,0.2142307688887734,0.3262597030783155,0.3244422211351261,0.5016837148187098,-1.540323645299534,2.3731789287389904,msi
GO_Biological_Process_2018,negative regulation of neuroblast proliferation (GO:0007406),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.759426837588736,2.662929779991798,COX5A
GO_Biological_Process_2018,regulation of ERK1 and ERK2 cascade (GO:0070372),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.4692291459857132,2.223709427917573,ATPsynD
GO_Biological_Process_2018,lipid transport (GO:0006869),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.5650555165725506,2.3687446692203245,slmo
GO_Biological_Process_2018,regulation of filopodium assembly (GO:0051489),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.941702553512502,2.9388079362940727,sif
GO_Biological_Process_2018,positive regulation of cellular biosynthetic process (GO:0031328),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.7477175690294071,2.645207554047302,CG1764
GO_Biological_Process_2018,negative regulation of neural precursor cell proliferation (GO:2000178),1/33,0.2201334824766927,0.3262692686708125,0.3324410158437234,0.5016837148187098,-1.7525296916660111,2.652490803569372,COX5A
GO_Molecular_Function_2018,adenyl ribonucleotide binding (GO:0032559),1/43,0.2767910727729243,0.3307114116247927,0.3583681294220848,0.4281801026861273,-1.0862625489496915,1.3952958878357262,Pgk
GO_Biological_Process_2018,positive regulation of cell cycle (GO:0045787),1/34,0.2259921481487597,0.3319884654220718,0.3403460982953265,0.5089860569101279,-1.692749139012502,2.517549659705731,COX5A
GO_Biological_Process_2018,sister chromatid segregation (GO:0000819),1/34,0.2259921481487597,0.3319884654220718,0.3403460982953265,0.5089860569101279,-1.67691255146348,2.493996615325984,bel
GO_Biological_Process_2018,maturation of SSU-rRNA (GO:0030490),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.2182587982896689,1.7219245111010402,mRpS9
GO_Biological_Process_2018,mitochondrial respiratory chain complex assembly (GO:0033108),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.552331273935223,2.194112838495748,ND-18
GO_Biological_Process_2018,"regulation of tube length, open tracheal system (GO:0035159)",1/36,0.2375786394602001,0.3365748367753398,0.3558794589611102,0.5113782950941831,-1.8270916455712425,2.625999520549574,deltaCOP
GO_Biological_Process_2018,positive regulation of canonical Wnt signaling pathway (GO:0090263),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.3257679970353902,1.87388132417638,flw
GO_Biological_Process_2018,Rab protein signal transduction (GO:0032482),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.5578098368899012,2.201856408130143,Rab18
GO_Biological_Process_2018,regulation of TOR signaling (GO:0032006),1/35,0.2318070924430677,0.3365748367753398,0.3481585547408526,0.5113782950941831,-1.698366496343473,2.4827566402829464,ATPsynD
GO_Biological_Process_2018,positive regulation of translation (GO:0045727),1/36,0.2375786394602001,0.3365748367753398,0.3558794589611102,0.5113782950941831,-1.728786243388258,2.4847094327613184,P32
GO_Biological_Process_2018,cation transport (GO:0006812),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.6890304713271944,2.387327694786986,GluRIA
GO_Biological_Process_2018,RNA metabolic process (GO:0016070),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.6492817979613823,2.331145695487305,mRpL44
GO_Biological_Process_2018,regulation of cell death (GO:0010941),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.6810704260182343,2.376076721556818,Mdh2
GO_Biological_Process_2018,male gamete generation (GO:0048232),2/124,0.2383224728444716,0.3365748367753398,0.4396225207795815,0.5768959561218224,-1.1818057882338482,1.6948638376388256,bel;slmo
GO_Biological_Process_2018,positive regulation of programmed cell death (GO:0043068),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.6521031395188803,2.3351334665494665,Mdh2
GO_Biological_Process_2018,regulation of neuron projection development (GO:0010975),1/37,0.2433071109219324,0.3365748367753398,0.363509872416347,0.5113782950941831,-1.620608170049108,2.290617506572393,sif
GO_Biological_Process_2018,ERAD pathway (GO:0036503),1/36,0.2375786394602001,0.3365748367753398,0.3558794589611102,0.5113782950941831,-1.5439240193454302,2.2190149817572373,Sgt
GO_Molecular_Function_2018,sodium channel activity (GO:0005272),1/45,0.2876219947795162,0.3392464553809678,0.3712293792159563,0.4378602934342049,-1.336096921479809,1.6649213018985607,GluRIA
GO_Biological_Process_2018,negative regulation of stem cell proliferation (GO:2000647),1/38,0.2489928261465382,0.341593463969631,0.371050844435441,0.5154346458266376,-1.5957585441917868,2.2186328814259118,COX5A
GO_Biological_Process_2018,posttranscriptional gene silencing by RNA (GO:0035194),1/38,0.2489928261465382,0.341593463969631,0.371050844435441,0.5154346458266376,-1.6669127812727529,2.317560836795601,bel
GO_Biological_Process_2018,regulation of cell morphogenesis involved in differentiation (GO:0010769),1/39,0.2546361021849479,0.3450579017363375,0.3785034122710042,0.5171322340492732,-1.6544680423759146,2.263179599067827,sif
GO_Biological_Process_2018,positive regulation of Notch signaling pathway (GO:0045747),1/39,0.2546361021849479,0.3450579017363375,0.3785034122710042,0.5171322340492732,-1.8805450922550744,2.5724348726657325,eIF3f1
GO_Biological_Process_2018,positive regulation of phosphorylation (GO:0042327),1/39,0.2546361021849479,0.3450579017363375,0.3785034122710042,0.5171322340492732,-1.414216082351623,1.9345341851726137,Pgk
GO_Molecular_Function_2018,protein kinase regulator activity (GO:0019887),1/47,0.2982917760006748,0.347377764456482,0.3838370423067399,0.4470000999015199,-1.2903313024790324,1.5608920440749732,pcs
GO_Biological_Process_2018,vesicle-mediated transport (GO:0016192),3/235,0.2587273981517492,0.3491768137657754,0.5360751620114464,0.6591739029177787,-0.7338267587943679,0.9921193129581368,eca;Rab18;Tsp42Ej
GO_Biological_Process_2018,negative regulation of neurogenesis (GO:0050768),1/41,0.2657965929372943,0.3558244711902489,0.3931474250782991,0.5324102811941811,-1.4082256323559008,1.865932691184071,COX5A
GO_Biological_Process_2018,tRNA aminoacylation for protein translation (GO:0006418),1/41,0.2657965929372943,0.3558244711902489,0.3931474250782991,0.5324102811941811,-1.169270431432768,1.5493113267618064,HisRS
GO_Molecular_Function_2018,G-protein coupled receptor binding (GO:0001664),1/50,0.3139995089263412,0.3610994352652924,0.4022837919167367,0.4626263607042472,-1.3474217461659337,1.5608046508997762,sun
GO_Biological_Process_2018,calcium ion transport (GO:0006816),1/42,0.271314430069352,0.3617525734258027,0.4003408856174996,0.5381100162955865,-1.536880178103152,2.004824647560928,Ca-alpha1T
GO_Biological_Process_2018,positive regulation of Wnt signaling pathway (GO:0030177),1/43,0.2767910727729243,0.3661140882892863,0.4074499733604273,0.5432666311472365,-1.263382034180233,1.6228045040875794,flw
GO_Biological_Process_2018,protein deubiquitination (GO:0016579),1/43,0.2767910727729243,0.3661140882892863,0.4074499733604273,0.5432666311472365,-1.549774714295483,1.9906736985631108,eIF3f1
GO_Molecular_Function_2018,protein serine/threonine phosphatase activity (GO:0004722),1/53,0.329357916307445,0.374085534571419,0.4201872134705246,0.4772496745591144,-1.2943122941741652,1.4374764721746969,flw
GO_Biological_Process_2018,spermatogenesis (GO:0007283),2/141,0.2855247635114523,0.3759468593181078,0.5056315349973383,0.635869960678471,-0.972593573881841,1.2190745750908083,bel;slmo
