group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,lncRNA:mimi,47.14738,1.0279338,0.0,0.0,0.9972947541754881,0.9562793691663984
0,toy,39.33306,1.7669141,0.0,0.0,0.45248176899553044,0.22897972320566462
0,VAChT,39.273273,1.1827394,0.0,0.0,0.6410256410256411,0.46648213710975217
0,ct,39.261753,1.3379185,0.0,0.0,0.6870148200423429,0.47490183456710655
0,scrt,34.98644,0.5865796,3.61740876162976e-268,8.818519079101029e-265,0.8836744295459892,0.8423817186997103
1,CG8369,70.36161,4.9127827,0.0,0.0,0.8207133917396746,0.18278883117822153
1,lncRNA:CR34335,68.91393,2.6649578,0.0,0.0,0.9968710888610763,0.9732227859389498
1,MtnA,53.841194,3.3804264,0.0,0.0,0.7346683354192741,0.29603162169653296
1,nrv2,53.523045,3.7712297,0.0,0.0,0.6648936170212766,0.15830129788746822
1,CG1552,50.683357,4.3731833,0.0,0.0,0.5876095118898623,0.0750774273628903
10,nAChRalpha6,63.94295,4.4044867,0.0,0.0,0.9993160054719562,0.690385409903795
10,sosie,61.342052,7.713507,0.0,0.0,0.9521203830369357,0.0588325562179071
10,beat-Ic,53.26198,4.2999625,0.0,0.0,0.9110807113543091,0.3431859765094729
10,acj6,45.991634,4.796656,0.0,0.0,0.7790697674418605,0.120887682228649
10,CG9896,43.67973,4.8366356,0.0,0.0,0.7250341997264022,0.11340376556690078
11,Imp,62.05249,3.5217595,0.0,0.0,0.8268469656992085,0.16620362018161045
11,futsch,52.413383,1.5383897,0.0,0.0,0.9864775725593667,0.8306091767394311
11,sesB,47.39738,1.350174,0.0,0.0,0.9647097625329816,0.8294906488664382
11,mbl,44.44789,2.247705,0.0,0.0,0.8459762532981531,0.4989476216248722
11,mamo,43.93806,2.023854,0.0,0.0,0.9281002638522428,0.5605147633652053
12,mub,95.4835,3.350487,0.0,0.0,0.9913657770800628,0.7482727217533848
12,jdp,95.344795,4.0493555,0.0,0.0,0.9911041339612768,0.6153846153846154
12,Pka-C1,93.143486,3.3552096,0.0,0.0,0.9730507587650444,0.6455345759213162
12,14-3-3zeta,90.59724,1.7886243,0.0,0.0,0.9958137100994244,0.9379029809969036
12,Pka-R2,88.88668,4.059751,0.0,0.0,0.9338042909471481,0.39564082326513267
13,CG14989,144.76945,6.0413537,0.0,0.0,0.9899704391891891,0.48316276644286554
13,Gad1,135.47008,5.385749,0.0,0.0,0.9206081081081081,0.14643113225995696
13,CG10804,62.17031,1.8789879,0.0,0.0,0.6786317567567568,0.3329639528062056
13,CG32017,58.812473,1.5498173,0.0,0.0,0.7934966216216216,0.5132259956978033
13,hth,53.489433,1.6041534,0.0,0.0,0.7141047297297297,0.46420702692132193
14,dths,42.16876,3.5802386,0.0,0.0,0.9462486002239642,0.5656160592842737
14,cpx,40.40106,1.9218014,0.0,0.0,0.9944008958566629,0.933739036630552
14,CG18598,35.28817,6.0568886,8.918485926102736e-273,2.717685623831656e-269,0.7122060470324748,0.044744617982271
14,CG31345,31.507618,4.415549,6.831484788240595e-218,1.387816134731077e-214,0.6808510638297872,0.13364757750574552
14,Abl,30.669823,2.28498,1.4382171643950504e-206,1.9478254463123633e-203,0.8409854423292273,0.5247643168706909
15,SoxN,69.094604,4.5266366,0.0,0.0,0.9522737505628095,0.3313164038305779
15,CG42750,67.79858,4.0059047,0.0,0.0,0.9320126069338136,0.4087974653389871
15,acj6,55.71675,4.5511236,0.0,0.0,0.7874831157136425,0.11471485063604746
15,Ten-a,55.329815,1.9243848,0.0,0.0,0.9680324178298064,0.8117108961837153
15,CNMaR,49.669357,5.012292,0.0,0.0,0.6596127870328681,0.06963171184906379
16,pros,65.92934,2.2430484,0.0,0.0,0.9653179190751445,0.7891988265641596
16,VAChT,42.397484,1.3854039,0.0,0.0,0.7421401381643874,0.4605229882150625
16,acj6,42.196457,2.5822265,0.0,0.0,0.4080078951078528,0.10730362652369632
16,Hs3st-A,41.38997,1.1796502,0.0,0.0,0.8061469053996898,0.5975039198826564
16,futsch,40.74163,0.8960864,0.0,0.0,0.9454391653743127,0.8262859744069597
17,ct,62.362793,2.939456,0.0,0.0,0.9269366197183099,0.478077541108386
17,Rbp6,52.743896,1.4421482,0.0,0.0,0.9598004694835681,0.8634150466962268
17,Jhbp2,49.575676,3.834695,0.0,0.0,0.6097417840375586,0.13535260786043085
17,Cbp53E,41.39587,1.7832608,0.0,0.0,0.8594483568075117,0.5866205946670855
17,scrt,40.797302,1.0368936,0.0,0.0,0.9234154929577465,0.8432867377883024
18,Rbp6,58.9183,2.1761017,0.0,0.0,0.9964964964964965,0.86415851934568
18,Cbp53E,54.88437,2.943079,0.0,0.0,0.9654654654654654,0.5886741348792455
18,ct,49.935715,3.0229068,0.0,0.0,0.9594594594594594,0.48482400598724146
