names,log2FC_pseudobulk,pval,pvals_adj,sex
Rgk1,0.7199936,2.9846164e-05,0.052380017936229706,Female
E23,0.9069402,0.0006596556,0.32262937839214617,Female
disco-r,0.96090984,0.0010541726,0.32262937839214617,Female
Nt5a,-0.2771616,0.0014145831,0.32262937839214617,Female
lncRNA:roX2,-8.995829,0.0014291854,0.32262937839214617,Female
mgl,0.5042391,0.001698031,0.32262937839214617,Female
Sesn,0.5421486,0.0018346877,0.32262937839214617,Female
Zip71B,0.50750494,0.0018602393,0.32262937839214617,Female
CG42342,-0.3701687,0.0018888462,0.32262937839214617,Female
lncRNA:roX1,-7.873022,0.0020668101,0.32262937839214617,Female
CG6044,-0.59638214,0.0021761837,0.32262937839214617,Female
CG43795,-0.5354233,0.0022222137,0.32262937839214617,Female
CG8560,-0.52914345,0.0023898473,0.32262937839214617,Female
Lim1,0.66886044,0.0027746672,0.34782436915806364,Female
Stacl,-0.42094994,0.0031456435,0.3680402755737305,Female
CG11791,-0.43721247,0.0038699761,0.40210122532314724,Female
CG43117,-0.61897707,0.003927467,0.40210122532314724,Female
Con,0.31150818,0.004124115,0.40210122532314724,Female
Vha36-3,-1.5623839,0.0045798672,0.40471272468566893,Female
Yp1,5.3648076,0.004612111,0.40471272468566893,Female
snoRNA:2R:9445410,0.8551341,0.005256269,0.4174049695332845,Female
Calx,0.7421398,0.0053622304,0.4174049695332845,Female
lncRNA:CR44082,0.4053961,0.005478104,0.4174049695332845,Female
lncRNA:CR45312,-0.5175524,0.005708102,0.4174049695332845,Female
asRNA:CR46354,0.5921931,0.006165115,0.4212436309227577,Female
eEF1alpha1,-0.28648853,0.0062406464,0.4212436309227577,Female
CG33296,1.4866987,0.0067499783,0.42739180860848264,Female
GstE3,-0.844753,0.006919985,0.42739180860848264,Female
laza,-0.2897973,0.0070623145,0.42739180860848264,Female
Irk3,0.89925957,0.008040865,0.47039060592651366,Female
CG30480,-1.0175414,0.008969205,0.4777247330238079,Female
asRNA:CR43889,0.63519216,0.0089916205,0.4777247330238079,Female
dmt,0.9547682,0.008992921,0.4777247330238079,Female
CG13631,-0.53295803,0.009565887,0.4777247330238079,Female
CG10184,-1.4985452,0.010046523,0.4777247330238079,Female
CG43078,-0.60585594,0.0106996,0.4777247330238079,Female
Mmp1,0.933465,0.011185873,0.4777247330238079,Female
Lgr1,0.41497993,0.011263418,0.4777247330238079,Female
asRNA:CR45479,-2.3050714,0.011458196,0.4777247330238079,Female
CG2269,-0.43284798,0.011616726,0.4777247330238079,Female
CG34155,-0.30826378,0.011922803,0.4777247330238079,Female
CG14778,-1.4078819,0.012241151,0.4777247330238079,Female
Tollo,0.51195335,0.012361269,0.4777247330238079,Female
robo2,0.60706997,0.01277715,0.4777247330238079,Female
pbl,0.49210167,0.013045118,0.4777247330238079,Female
CG10433,0.88019705,0.013414849,0.4777247330238079,Female
wgn,-0.44011998,0.0136982165,0.4777247330238079,Female
TrpA1,0.089529276,0.014095375,0.4777247330238079,Female
CG3036,-1.4190259,0.014130375,0.4777247330238079,Female
aru,-0.5577383,0.014147628,0.4777247330238079,Female
Yp3,2.5647345,0.014261027,0.4777247330238079,Female
Cht2,3.1575017,0.0147462,0.4777247330238079,Female
Or13a,-0.84948945,0.014972216,0.4777247330238079,Female
CG10479,-0.48704863,0.015192038,0.4777247330238079,Female
Yp2,3.4502623,0.015246993,0.4777247330238079,Female
VGlut1,0.17103004,0.0154626155,0.4777247330238079,Female
Galm1,-0.9618225,0.015519678,0.4777247330238079,Female
CG3301,-0.76713514,0.015788054,0.4777247330238079,Female
GstD2,-1.8604239,0.017471574,0.48307140608479204,Female
CG9444,-1.1108778,0.017622434,0.48307140608479204,Female
CG34437,0.557037,0.017624896,0.48307140608479204,Female
beat-VI,-0.1810627,0.017706983,0.48307140608479204,Female
CG31869,-0.3742342,0.017843423,0.48307140608479204,Female
wtrw,0.9019251,0.018243333,0.48307140608479204,Female
lncRNA:CR45522,0.77441895,0.018599316,0.48307140608479204,Female
stumps,0.58676577,0.01862055,0.48307140608479204,Female
Ork1,1.297646,0.018969404,0.48307140608479204,Female
LanA,1.1996639,0.019401683,0.48307140608479204,Female
CG13280,-1.1945448,0.019430857,0.48307140608479204,Female
ninaB,-0.54984474,0.019460445,0.48307140608479204,Female
CG12355,-0.5397606,0.019799434,0.48307140608479204,Female
zyd,1.3139391,0.020400183,0.48307140608479204,Female
CG13272,-0.7303538,0.020431347,0.48307140608479204,Female
kumpel,0.5848031,0.021321226,0.48307140608479204,Female
Hpd,-1.511306,0.021703413,0.48307140608479204,Female
Hibadh,-0.97423625,0.022171164,0.48307140608479204,Female
RabX5,-0.93214136,0.022186477,0.48307140608479204,Female
bou,-1.0603075,0.022510882,0.48307140608479204,Female
IKKbeta,-0.54160285,0.02257858,0.48307140608479204,Female
Cyp28a5,0.4652145,0.022595499,0.48307140608479204,Female
CG13071,-1.7888942,0.02278994,0.48307140608479204,Female
Mdh1,-0.60863686,0.023673654,0.48307140608479204,Female
CG17574,-0.42908144,0.024321722,0.48307140608479204,Female
AstC,-1.0901155,0.024978641,0.48307140608479204,Female
CG9689,-0.90759754,0.025089018,0.48307140608479204,Female
Obp99b,-3.8754342,0.02514801,0.48307140608479204,Female
CG1143,-0.39233732,0.02527687,0.48307140608479204,Female
AOX3,0.5725055,0.025645133,0.48307140608479204,Female
santa-maria,-0.58078766,0.026075933,0.48307140608479204,Female
CG34398,-1.4520142,0.026192417,0.48307140608479204,Female
lncRNA:CR44718,-0.5123452,0.026367925,0.48307140608479204,Female
Cyp4ac3,0.7866962,0.026372612,0.48307140608479204,Female
Tis11,0.44623566,0.027219918,0.48307140608479204,Female
lncRNA:CR45048,-0.5022056,0.027535975,0.48307140608479204,Female
Pgant4,0.58529925,0.027814195,0.48307140608479204,Female
Cyp28c1,-0.39373255,0.028320795,0.48307140608479204,Female
GV1,-1.3090641,0.028479474,0.48307140608479204,Female
Syb,-0.2545929,0.028736185,0.48307140608479204,Female
CG13877,-0.23360157,0.028761901,0.48307140608479204,Female
CG14780,-1.0375106,0.02899021,0.48307140608479204,Female
fru,0.9608269,0.029134417,0.48307140608479204,Female
CCHa2,0.48285675,0.029424172,0.48307140608479204,Female
CG34423,0.51548153,0.02969221,0.48307140608479204,Female
Fbxl7,-0.8117595,0.030257447,0.48307140608479204,Female
lncRNA:CR43870,-0.8407011,0.030342072,0.48307140608479204,Female
heca,0.35144997,0.03095977,0.48307140608479204,Female
Phk-3,-0.6318319,0.030991828,0.48307140608479204,Female
pr,-0.9845052,0.031119555,0.48307140608479204,Female
Notum,-0.65330434,0.03132817,0.48307140608479204,Female
vvl,0.32954597,0.03183178,0.48307140608479204,Female
Proc-R,0.6543672,0.03281708,0.48307140608479204,Female
rgn,-0.25497627,0.03289328,0.48307140608479204,Female
asRNA:CR45376,-0.65849054,0.03299409,0.48307140608479204,Female
CG12998,-1.1576308,0.03306019,0.48307140608479204,Female
Picot,0.4923978,0.033241574,0.48307140608479204,Female
CG9109,-0.46475983,0.033313606,0.48307140608479204,Female
CG1572,-0.68947744,0.033452056,0.48307140608479204,Female
trol,0.1445055,0.03348709,0.48307140608479204,Female
Rac2,0.3771224,0.033941995,0.48307140608479204,Female
CG6356,1.1813798,0.034439843,0.48307140608479204,Female
ab,-0.47222137,0.034632545,0.48307140608479204,Female
PGRP-LA,-0.6364455,0.03474712,0.48307140608479204,Female
dlp,0.49064112,0.035228595,0.48307140608479204,Female
CG1468,0.32432795,0.035275843,0.48307140608479204,Female
alpha-Est8,-0.23290586,0.03555372,0.48307140608479204,Female
Muc14A,-2.7577624,0.035576854,0.48307140608479204,Female
CG31121,-1.0990345,0.035609387,0.48307140608479204,Female
Reck,0.39221525,0.035700064,0.48307140608479204,Female
lncRNA:CR42491,2.9743884,0.03581505,0.48307140608479204,Female
euc,0.7185354,0.03599754,0.48307140608479204,Female
Dop1R2,-0.29248238,0.03622882,0.48307140608479204,Female
lncRNA:CR43264,2.1362014,0.036498483,0.48307140608479204,Female
CG31689,-0.30380774,0.03660883,0.48307140608479204,Female
CG6834,0.30937397,0.036932003,0.4836990014830632,Female
Sulf1,0.46764278,0.038385283,0.4916476113455636,Female
DIP-kappa,0.26110172,0.03858429,0.4916476113455636,Female
Pgls,-0.965868,0.038753,0.4916476113455636,Female
mnd,0.7821975,0.039123125,0.4916476113455636,Female
Aldh,-0.502161,0.03917282,0.4916476113455636,Female
flap,-0.8440585,0.039219752,0.4916476113455636,Female
Adh,-0.6276866,0.041269153,0.506853605571546,Female
Myo81F,0.5119066,0.04175469,0.506853605571546,Female
CG4991,0.22104144,0.041923452,0.506853605571546,Female
AstC-R2,0.86399174,0.0421887,0.506853605571546,Female
Cngl,0.34028053,0.04229273,0.506853605571546,Female
Ipk1,-0.4012227,0.04274445,0.506853605571546,Female
norpA,-0.38174057,0.043208014,0.506853605571546,Female
Tk,-0.32033443,0.04343715,0.506853605571546,Female
ninaE,-2.474205,0.043516196,0.506853605571546,Female
mamo,0.22102356,0.04353936,0.506853605571546,Female
CG10444,-0.6206484,0.043712284,0.506853605571546,Female
Obp56h,-1.7059066,0.043898433,0.506853605571546,Female
Tdc2,1.1455832,0.045283265,0.5141454389018397,Female
Mipp1,-0.62664247,0.045309257,0.5141454389018397,Female
Cht6,-0.18528748,0.045408856,0.5141454389018397,Female
Ssk,-0.40830564,0.046382442,0.5211971398555871,Female
Psf2,-0.30788338,0.046736535,0.5211971398555871,Female
CG13458,0.7776804,0.047415238,0.5211971398555871,Female
D,-0.4660139,0.047496963,0.5211971398555871,Female
lncRNA:CR13130,0.7273731,0.048348557,0.5211971398555871,Female
CG6908,-1.0767208,0.048365153,0.5211971398555871,Female
CG5397,-0.6708245,0.048684094,0.5211971398555871,Female
se,-2.1979198,0.048760734,0.5211971398555871,Female
hfw,0.64345765,0.04885589,0.5211971398555871,Female
Thor,-0.8550167,0.04900144,0.5211971398555871,Female
l(2)gl,0.60822654,0.049639147,0.5218048993278952,Female
lncRNA:CR44129,1.538031,0.04975406,0.5218048993278952,Female
NimC1,1.5020471,0.05039586,0.5218048993278952,Female
vn,-0.22325706,0.05050851,0.5218048993278952,Female
Ten-a,0.4663353,0.050545204,0.5218048993278952,Female
CG42674,-0.64813995,0.050856132,0.5219445033380162,Female
